id,pred_job,unix_time,date,job_id,geek_id
0,1,1685785500,2023-06-03,287476646,4181807
1,11,1685785500,2023-06-03,216414165,4181807
2,59,1685785500,2023-06-03,283939455,4181807
3,93,1685785500,2023-06-03,280839040,4181807
4,137,1685785500,2023-06-03,287618140,4181807
5,181,1685785500,2023-06-03,159051363,4181807
6,181,1685785500,2023-06-03,285254073,4181807
7,283,1685785500,2023-06-03,262013881,4181807
8,283,1685785500,2023-06-03,269207378,4181807
9,347,1685785500,2023-06-03,276283918,4181807
10,451,1685785500,2023-06-03,233292848,4181807
11,29,1685785517,2023-06-03,287509421,4181807
12,11,1685785527,2023-06-03,271873133,4181807
13,11,1685785527,2023-06-03,271873133,4181807
14,1,1685785539,2023-06-03,288318293,4181807
15,29,1685785598,2023-06-03,216226757,4181807
16,29,1685785598,2023-06-03,275947314,4181807
17,29,1685785598,2023-06-03,285305102,4181807
18,29,1685785598,2023-06-03,80131853,4181807
19,73,1685785598,2023-06-03,255172977,4181807
20,87,1685785598,2023-06-03,288613431,4181807
21,229,1685785598,2023-06-03,157590785,4181807
22,281,1685785598,2023-06-03,256298770,4181807
23,283,1685785598,2023-06-03,280947107,4181807
24,488,1685785598,2023-06-03,274621218,4181807
25,29,1685785601,2023-06-03,238699384,4181807
26,87,1685785626,2023-06-03,280532877,4181807
27,29,1685785631,2023-06-03,288264828,4181807
28,5,1685785638,2023-06-03,281907122,4181807
29,5,1685785638,2023-06-03,288779992,4181807
30,35,1685785638,2023-06-03,271343991,4181807
31,154,1685785638,2023-06-03,279297195,4181807
32,154,1685785638,2023-06-03,284143375,4181807
33,29,1685785744,2023-06-03,287659021,4181807
34,283,1685787620,2023-06-03,269649488,4181807
35,29,1685796470,2023-06-03,273831669,4181807
36,283,1685799367,2023-06-03,268144873,4181807
37,35,1685964194,2023-06-03,288698009,4181807
