id,pred_job,unix_time,date,job_id,geek_id
0,26,1685883494,2023-06-04,118284354,83138447
1,26,1685883494,2023-06-04,219376661,83138447
2,26,1685883494,2023-06-04,263309718,83138447
3,26,1685883494,2023-06-04,269150972,83138447
4,26,1685883494,2023-06-04,65909807,83138447
5,29,1685883494,2023-06-04,77724451,83138447
6,43,1685883494,2023-06-04,275568340,83138447
7,58,1685883494,2023-06-04,288116164,83138447
8,70,1685883494,2023-06-04,286613905,83138447
9,145,1685883494,2023-06-04,270455155,83138447
10,172,1685883494,2023-06-04,285941082,83138447
11,266,1685883494,2023-06-04,6898326,83138447
12,344,1685883494,2023-06-04,282283010,83138447
13,396,1685883494,2023-06-04,281066270,83138447
14,43,1685883509,2023-06-04,287039870,83138447
15,344,1685883545,2023-06-04,282117953,83138447
16,11,1685883568,2023-06-04,285717489,83138447
17,29,1685883568,2023-06-04,158144278,83138447
18,29,1685883568,2023-06-04,289022040,83138447
19,70,1685883568,2023-06-04,222934671,83138447
20,70,1685883568,2023-06-04,278393076,83138447
21,84,1685883568,2023-06-04,243501289,83138447
22,181,1685883568,2023-06-04,235841060,83138447
23,256,1685883568,2023-06-04,289044725,83138447
24,267,1685883568,2023-06-04,288400530,83138447
25,283,1685883568,2023-06-04,220203521,83138447
26,283,1685883568,2023-06-04,289029534,83138447
27,331,1685883568,2023-06-04,288751902,83138447
28,451,1685883568,2023-06-04,277128205,83138447
29,488,1685883568,2023-06-04,281592165,83138447
30,479,1685883571,2023-06-04,286890571,83138447
31,145,1685883599,2023-06-04,254821506,83138447
32,353,1685883678,2023-06-04,239213260,83138447
33,1,1685883689,2023-06-04,255624239,83138447
34,7,1685883689,2023-06-04,253884942,83138447
35,26,1685883689,2023-06-04,285928801,83138447
36,29,1685883689,2023-06-04,287656836,83138447
37,29,1685883689,2023-06-04,288184993,83138447
38,29,1685883689,2023-06-04,288491672,83138447
39,29,1685883689,2023-06-04,288774010,83138447
40,29,1685883689,2023-06-04,77724451,83138447
41,39,1685883689,2023-06-04,288750515,83138447
42,54,1685883689,2023-06-04,271438357,83138447
43,91,1685883689,2023-06-04,288060990,83138447
44,122,1685883689,2023-06-04,286072804,83138447
45,166,1685883689,2023-06-04,276960837,83138447
46,396,1685883721,2023-06-04,284882724,83138447
47,344,1685883731,2023-06-04,245212847,83138447
48,344,1685883812,2023-06-04,286262031,83138447
49,467,1685883870,2023-06-04,263630704,83138447
50,1,1685883888,2023-06-04,186462444,83138447
51,1,1685883888,2023-06-04,285618022,83138447
52,1,1685883888,2023-06-04,288848231,83138447
53,7,1685883888,2023-06-04,191312948,83138447
54,7,1685883888,2023-06-04,288830805,83138447
55,26,1685883888,2023-06-04,189820381,83138447
56,26,1685883888,2023-06-04,288652702,83138447
57,29,1685883888,2023-06-04,255518870,83138447
58,42,1685883888,2023-06-04,287159683,83138447
59,71,1685883888,2023-06-04,272129508,83138447
60,266,1685883888,2023-06-04,144431116,83138447
61,283,1685883888,2023-06-04,286832496,83138447
62,283,1685883888,2023-06-04,288442671,83138447
63,463,1685883888,2023-06-04,271197024,83138447
64,479,1685883888,2023-06-04,154574155,83138447
65,465,1685883895,2023-06-04,240703173,83138447
66,256,1685884041,2023-06-04,286877220,83138447
67,479,1685884146,2023-06-04,285966164,83138447
68,26,1685884171,2023-06-04,275074276,83138447
69,29,1685884171,2023-06-04,196687354,83138447
70,29,1685884171,2023-06-04,199988141,83138447
71,29,1685884171,2023-06-04,265379792,83138447
72,29,1685884171,2023-06-04,284602870,83138447
73,91,1685884171,2023-06-04,96247922,83138447
74,380,1685884171,2023-06-04,157686134,83138447
75,1,1685884241,2023-06-04,279033061,83138447
76,1,1685884241,2023-06-04,288534821,83138447
77,1,1685884241,2023-06-04,288549008,83138447
78,26,1685884241,2023-06-04,131893693,83138447
79,29,1685884241,2023-06-04,111053681,83138447
80,29,1685884241,2023-06-04,288039303,83138447
81,35,1685884241,2023-06-04,120724842,83138447
82,70,1685884241,2023-06-04,222934671,83138447
83,70,1685884241,2023-06-04,285667287,83138447
84,258,1685884241,2023-06-04,256482400,83138447
85,283,1685884241,2023-06-04,289031701,83138447
86,450,1685884241,2023-06-04,251538336,83138447
87,463,1685884241,2023-06-04,282634948,83138447
88,283,1685884289,2023-06-04,274097499,83138447
89,1,1685884324,2023-06-04,65562421,83138447
90,7,1685884324,2023-06-04,75173945,83138447
91,11,1685884324,2023-06-04,260353114,83138447
92,26,1685884324,2023-06-04,271659769,83138447
93,26,1685884324,2023-06-04,288665635,83138447
94,29,1685884324,2023-06-04,255518870,83138447
95,71,1685884324,2023-06-04,249998876,83138447
96,81,1685884324,2023-06-04,154382410,83138447
97,91,1685884324,2023-06-04,281917379,83138447
98,123,1685884324,2023-06-04,231671297,83138447
99,402,1685884324,2023-06-04,279892323,83138447
100,474,1685884324,2023-06-04,273012902,83138447
101,479,1685884324,2023-06-04,154574155,83138447
102,29,1685884336,2023-06-04,250419742,83138447
