id,pred_job,unix_time,date,job_id,geek_id
0,1,1685724135,2023-06-03,130938799,6797095
1,5,1685724135,2023-06-03,131714542,6797095
2,5,1685724135,2023-06-03,284273174,6797095
3,29,1685724135,2023-06-03,272124217,6797095
4,29,1685724135,2023-06-03,285818343,6797095
5,154,1685724135,2023-06-03,286914517,6797095
6,181,1685724135,2023-06-03,274316890,6797095
7,181,1685724135,2023-06-03,27832888,6797095
8,192,1685724135,2023-06-03,192635752,6797095
9,192,1685724135,2023-06-03,211235783,6797095
10,283,1685724135,2023-06-03,252771452,6797095
11,283,1685724135,2023-06-03,280530591,6797095
12,283,1685724135,2023-06-03,287618240,6797095
13,347,1685724135,2023-06-03,253500595,6797095
14,347,1685724135,2023-06-03,284017892,6797095
15,1,1685725633,2023-06-03,274034781,6797095
16,5,1685725633,2023-06-03,131714542,6797095
17,5,1685725633,2023-06-03,284273174,6797095
18,29,1685725633,2023-06-03,272124217,6797095
19,29,1685725633,2023-06-03,285818343,6797095
20,71,1685725633,2023-06-03,282204140,6797095
21,137,1685725633,2023-06-03,250194972,6797095
22,177,1685725633,2023-06-03,280442086,6797095
23,331,1685725633,2023-06-03,268636836,6797095
24,347,1685725633,2023-06-03,239206137,6797095
25,1,1685725700,2023-06-03,252835996,6797095
26,1,1685725700,2023-06-03,267260480,6797095
27,5,1685725700,2023-06-03,131714542,6797095
28,29,1685725700,2023-06-03,250087564,6797095
29,29,1685725700,2023-06-03,284716035,6797095
30,35,1685725700,2023-06-03,286582891,6797095
31,71,1685725700,2023-06-03,282204140,6797095
32,181,1685725700,2023-06-03,283826342,6797095
33,181,1685725700,2023-06-03,288809468,6797095
34,192,1685725700,2023-06-03,192635752,6797095
35,209,1685725700,2023-06-03,288717225,6797095
36,238,1685725700,2023-06-03,287011240,6797095
37,29,1685728083,2023-06-03,221473734,6797095
38,154,1685728083,2023-06-03,286914517,6797095
39,181,1685728083,2023-06-03,185025607,6797095
40,181,1685728083,2023-06-03,274316890,6797095
41,181,1685728083,2023-06-03,283826342,6797095
42,181,1685728083,2023-06-03,288809468,6797095
43,192,1685728083,2023-06-03,192635752,6797095
44,192,1685728083,2023-06-03,211235783,6797095
45,283,1685728083,2023-06-03,288358472,6797095
46,331,1685728083,2023-06-03,268636836,6797095
47,298,1685728127,2023-06-03,256203920,6797095
48,1,1685730817,2023-06-03,252835996,6797095
49,29,1685730817,2023-06-03,221473734,6797095
50,29,1685730817,2023-06-03,269687511,6797095
51,154,1685730817,2023-06-03,285697954,6797095
52,181,1685730817,2023-06-03,185025607,6797095
53,181,1685730817,2023-06-03,288809468,6797095
54,192,1685730817,2023-06-03,288333647,6797095
55,209,1685730817,2023-06-03,288717225,6797095
56,283,1685730817,2023-06-03,287618240,6797095
57,331,1685730817,2023-06-03,268636836,6797095
58,29,1685760442,2023-06-03,276032567,6797095
59,29,1685760442,2023-06-03,58520903,6797095
60,181,1685760442,2023-06-03,274316890,6797095
61,181,1685760442,2023-06-03,27832888,6797095
62,181,1685760442,2023-06-03,288809468,6797095
63,238,1685760442,2023-06-03,287011240,6797095
64,283,1685760442,2023-06-03,280530591,6797095
65,347,1685760442,2023-06-03,253500595,6797095
66,488,1685760442,2023-06-03,273953518,6797095
67,1,1685760751,2023-06-03,288610799,6797095
68,11,1685760751,2023-06-03,229246330,6797095
69,29,1685760751,2023-06-03,269687511,6797095
70,154,1685760751,2023-06-03,285697954,6797095
71,181,1685760751,2023-06-03,283826342,6797095
72,181,1685760751,2023-06-03,284029673,6797095
73,283,1685760751,2023-06-03,274019290,6797095
74,347,1685760751,2023-06-03,239206137,6797095
75,347,1685760751,2023-06-03,253500595,6797095
76,1,1685774691,2023-06-03,107363788,6797095
77,1,1685774691,2023-06-03,130938799,6797095
78,181,1685774691,2023-06-03,286704505,6797095
79,283,1685774691,2023-06-03,252771452,6797095
80,283,1685774691,2023-06-03,280530591,6797095
81,331,1685774691,2023-06-03,268636836,6797095
82,488,1685774691,2023-06-03,276962255,6797095
83,1,1685888575,2023-06-04,130938799,6797095
84,5,1685888575,2023-06-04,255797597,6797095
85,5,1685888575,2023-06-04,288101667,6797095
86,11,1685888575,2023-06-04,229246330,6797095
87,29,1685888575,2023-06-04,284716035,6797095
88,73,1685888575,2023-06-04,226877889,6797095
89,154,1685888575,2023-06-04,285697954,6797095
90,181,1685888575,2023-06-04,274316890,6797095
91,181,1685888575,2023-06-04,281492455,6797095
92,192,1685888575,2023-06-04,211235783,6797095
93,192,1685888575,2023-06-04,288333647,6797095
94,283,1685888575,2023-06-04,40747565,6797095
95,347,1685888575,2023-06-04,284017892,6797095
96,451,1685888575,2023-06-04,269858989,6797095
