id,pred_job,unix_time,date,job_id,geek_id
0,1,1685758488,2023-06-03,265568636,50720074
1,1,1685758488,2023-06-03,288227774,50720074
2,3,1685758488,2023-06-03,283330722,50720074
3,22,1685758488,2023-06-03,287210627,50720074
4,29,1685758488,2023-06-03,233998687,50720074
5,29,1685758488,2023-06-03,243202564,50720074
6,29,1685758488,2023-06-03,275064082,50720074
7,29,1685758488,2023-06-03,282924307,50720074
8,35,1685758488,2023-06-03,273023002,50720074
9,105,1685758488,2023-06-03,275282314,50720074
10,331,1685758488,2023-06-03,288905340,50720074
11,347,1685758488,2023-06-03,255920965,50720074
12,347,1685758488,2023-06-03,269914608,50720074
13,488,1685758488,2023-06-03,259694099,50720074
14,29,1685758513,2023-06-03,241828508,50720074
15,29,1685758549,2023-06-03,155599093,50720074
16,1,1685850317,2023-06-04,217927358,50720074
17,1,1685850317,2023-06-04,255144224,50720074
18,1,1685850317,2023-06-04,286572855,50720074
19,11,1685850317,2023-06-04,265487688,50720074
20,29,1685850317,2023-06-04,216772929,50720074
21,29,1685850317,2023-06-04,242192953,50720074
22,29,1685850317,2023-06-04,285676077,50720074
23,29,1685850317,2023-06-04,288421467,50720074
24,29,1685850317,2023-06-04,289151295,50720074
25,35,1685850317,2023-06-04,175236041,50720074
26,35,1685850317,2023-06-04,273238849,50720074
27,155,1685850317,2023-06-04,243182317,50720074
28,234,1685850317,2023-06-04,276359414,50720074
29,283,1685850317,2023-06-04,253996873,50720074
30,347,1685850317,2023-06-04,201520947,50720074
31,347,1685850317,2023-06-04,255920965,50720074
32,347,1685850317,2023-06-04,288005294,50720074
