id,pred_job,unix_time,date,job_id,geek_id
0,1,1685861235,2023-06-04,86164335,91889985
1,11,1685861235,2023-06-04,280257951,91889985
2,26,1685861235,2023-06-04,159131270,91889985
3,26,1685861235,2023-06-04,69839692,91889985
4,29,1685861235,2023-06-04,158009123,91889985
5,29,1685861235,2023-06-04,209469953,91889985
6,35,1685861235,2023-06-04,280978873,91889985
7,129,1685861235,2023-06-04,92407351,91889985
8,192,1685861235,2023-06-04,282884783,91889985
9,298,1685861235,2023-06-04,239114585,91889985
10,298,1685861235,2023-06-04,251543750,91889985
11,331,1685861235,2023-06-04,288991963,91889985
12,165,1685861240,2023-06-04,288336879,91889985
13,28,1685861261,2023-06-04,132030507,91889985
14,11,1685861289,2023-06-04,235277331,91889985
15,266,1685861314,2023-06-04,195855372,91889985
16,7,1685861333,2023-06-04,284440039,91889985
17,11,1685861333,2023-06-04,115578462,91889985
18,28,1685861333,2023-06-04,265495398,91889985
19,28,1685861333,2023-06-04,288490852,91889985
20,29,1685861333,2023-06-04,280193306,91889985
21,29,1685861333,2023-06-04,99625508,91889985
22,35,1685861333,2023-06-04,24043438,91889985
23,79,1685861333,2023-06-04,287874071,91889985
24,181,1685861333,2023-06-04,215401436,91889985
25,192,1685861333,2023-06-04,273195667,91889985
26,266,1685861333,2023-06-04,173444884,91889985
27,266,1685861333,2023-06-04,82545534,91889985
28,331,1685861333,2023-06-04,282856362,91889985
29,396,1685861333,2023-06-04,282904028,91889985
30,167,1685861337,2023-06-04,283347070,91889985
31,43,1685861351,2023-06-04,287039870,91889985
32,467,1685861383,2023-06-04,282030397,91889985
33,123,1685861391,2023-06-04,131424372,91889985
34,7,1685861418,2023-06-04,63330000,91889985
35,11,1685861418,2023-06-04,174185231,91889985
36,11,1685861418,2023-06-04,287502934,91889985
37,11,1685861418,2023-06-04,30862442,91889985
38,266,1685861418,2023-06-04,165957711,91889985
39,266,1685861418,2023-06-04,23459517,91889985
40,266,1685861418,2023-06-04,26156628,91889985
41,331,1685861418,2023-06-04,274952287,91889985
42,331,1685861418,2023-06-04,282856362,91889985
43,331,1685861421,2023-06-04,288600654,91889985
44,11,1685861445,2023-06-04,68343115,91889985
45,1,1685870633,2023-06-04,248672217,91889985
46,26,1685870633,2023-06-04,170535487,91889985
47,129,1685870633,2023-06-04,235090920,91889985
48,165,1685870633,2023-06-04,117340898,91889985
49,259,1685870633,2023-06-04,22718225,91889985
50,266,1685870633,2023-06-04,165957711,91889985
51,266,1685870633,2023-06-04,199006669,91889985
52,266,1685870633,2023-06-04,209959290,91889985
53,331,1685870633,2023-06-04,280612232,91889985
54,331,1685870633,2023-06-04,288531337,91889985
55,402,1685870640,2023-06-04,288382955,91889985
56,11,1685870672,2023-06-04,235277331,91889985
57,11,1685870685,2023-06-04,121530993,91889985
