id,pred_job,unix_time,date,job_id,geek_id
0,129,1685751905,2023-06-03,274709540,4202252
1,230,1685754388,2023-06-03,148452007,4202252
2,7,1685754540,2023-06-03,209420701,4202252
3,166,1685769242,2023-06-03,268310471,4202252
4,70,1685769264,2023-06-03,227940915,4202252
5,7,1685769300,2023-06-03,256563128,4202252
6,166,1685769518,2023-06-03,241586445,4202252
7,70,1685769529,2023-06-03,285523321,4202252
8,35,1685769605,2023-06-03,280812344,4202252
9,26,1685769614,2023-06-03,219348534,4202252
10,26,1685769620,2023-06-03,265522555,4202252
11,87,1685788878,2023-06-03,285647867,4202252
12,166,1685788880,2023-06-03,267457615,4202252
13,264,1685844306,2023-06-04,273988202,4202252
14,166,1685844323,2023-06-04,60718519,4202252
15,122,1685844332,2023-06-04,160210675,4202252
16,109,1685844485,2023-06-04,264944312,4202252
17,129,1685844525,2023-06-04,274709540,4202252
18,4,1685844540,2023-06-04,56668199,4202252
19,26,1685844674,2023-06-04,265522555,4202252
20,7,1685844689,2023-06-04,209420701,4202252
21,166,1685845030,2023-06-04,60718519,4202252
22,122,1685845051,2023-06-04,160210675,4202252
23,228,1685845063,2023-06-04,236952862,4202252
24,26,1685845139,2023-06-04,284170747,4202252
25,79,1685845238,2023-06-04,282894708,4202252
26,167,1685845275,2023-06-04,283347070,4202252
27,43,1685855279,2023-06-04,282007133,4202252
28,70,1685859182,2023-06-04,262947056,4202252
29,11,1685864813,2023-06-04,245450624,4202252
30,70,1685864849,2023-06-04,285523321,4202252
31,11,1685864856,2023-06-04,161156043,4202252
32,7,1685864860,2023-06-04,209420701,4202252
33,87,1685881812,2023-06-04,285647867,4202252
34,260,1685881845,2023-06-04,250339107,4202252
35,26,1685881851,2023-06-04,205750627,4202252
36,35,1685881875,2023-06-04,280812344,4202252
37,13,1685881929,2023-06-04,282333353,4202252
38,7,1685881936,2023-06-04,58309131,4202252
39,26,1685884492,2023-06-04,92076428,4202252
40,28,1685884492,2023-06-04,288567590,4202252
41,66,1685884492,2023-06-04,278363673,4202252
42,138,1685884492,2023-06-04,151946135,4202252
43,264,1685884492,2023-06-04,280936793,4202252
44,264,1685884492,2023-06-04,282586233,4202252
45,285,1685884492,2023-06-04,285198874,4202252
46,353,1685884492,2023-06-04,286450387,4202252
