id,pred_job,unix_time,date,job_id,geek_id
0,1,1685722103,2023-06-03,271553618,43521436
1,1,1685722103,2023-06-03,274994356,43521436
2,5,1685722103,2023-06-03,278331895,43521436
3,26,1685722103,2023-06-03,273825316,43521436
4,29,1685722103,2023-06-03,285164358,43521436
5,29,1685722103,2023-06-03,288151315,43521436
6,33,1685722103,2023-06-03,93597219,43521436
7,35,1685722103,2023-06-03,131228526,43521436
8,181,1685722103,2023-06-03,229361345,43521436
9,181,1685722103,2023-06-03,240289890,43521436
10,192,1685722103,2023-06-03,284590757,43521436
11,206,1685722103,2023-06-03,275201737,43521436
12,283,1685722103,2023-06-03,285437932,43521436
13,347,1685722103,2023-06-03,160677095,43521436
14,29,1685722109,2023-06-03,277077277,43521436
15,123,1685722122,2023-06-03,76487696,43521436
16,152,1685722122,2023-06-03,166983324,43521436
17,152,1685722122,2023-06-03,185094810,43521436
18,152,1685722122,2023-06-03,278633987,43521436
19,152,1685722122,2023-06-03,283948697,43521436
20,232,1685722122,2023-06-03,288950710,43521436
21,333,1685722122,2023-06-03,245140323,43521436
22,270,1685722141,2023-06-03,267134844,43521436
23,147,1685722183,2023-06-03,124838450,43521436
24,152,1685722190,2023-06-03,125953780,43521436
25,152,1685722190,2023-06-03,181910423,43521436
26,152,1685722190,2023-06-03,185094810,43521436
27,152,1685722190,2023-06-03,213263286,43521436
28,152,1685722190,2023-06-03,265165182,43521436
29,152,1685722190,2023-06-03,265711169,43521436
30,152,1685722190,2023-06-03,283948697,43521436
31,232,1685722190,2023-06-03,279914067,43521436
32,333,1685722190,2023-06-03,202293964,43521436
33,333,1685722190,2023-06-03,219176637,43521436
34,333,1685722190,2023-06-03,240101850,43521436
35,333,1685722190,2023-06-03,245140323,43521436
36,345,1685722190,2023-06-03,269680721,43521436
37,356,1685722190,2023-06-03,212640271,43521436
38,400,1685722190,2023-06-03,68000418,43521436
39,444,1685722190,2023-06-03,280622182,43521436
40,483,1685722190,2023-06-03,244325321,43521436
41,35,1685722198,2023-06-03,145711928,43521436
42,71,1685722198,2023-06-03,269152824,43521436
43,71,1685722198,2023-06-03,276062584,43521436
44,73,1685722198,2023-06-03,288026747,43521436
45,129,1685722198,2023-06-03,216348765,43521436
46,154,1685722198,2023-06-03,206414931,43521436
47,209,1685722198,2023-06-03,169911657,43521436
48,209,1685722198,2023-06-03,260538268,43521436
49,268,1685722198,2023-06-03,267668422,43521436
50,268,1685722198,2023-06-03,272569549,43521436
51,333,1685722198,2023-06-03,242725553,43521436
52,390,1685722198,2023-06-03,185308543,43521436
53,390,1685722198,2023-06-03,233317860,43521436
54,390,1685722198,2023-06-03,250621294,43521436
55,390,1685722198,2023-06-03,269945703,43521436
56,390,1685722201,2023-06-03,288934966,43521436
57,5,1685722247,2023-06-03,200838897,43521436
58,3,1685722263,2023-06-03,281598227,43521436
59,11,1685722263,2023-06-03,271574556,43521436
60,35,1685722263,2023-06-03,145711928,43521436
61,35,1685722263,2023-06-03,244354259,43521436
62,62,1685722263,2023-06-03,28175111,43521436
63,155,1685722263,2023-06-03,229878486,43521436
64,266,1685722263,2023-06-03,38944149,43521436
65,390,1685722263,2023-06-03,147763342,43521436
66,390,1685722263,2023-06-03,250621294,43521436
67,33,1685725124,2023-06-03,246738571,43521436
68,390,1685725138,2023-06-03,285825675,43521436
69,488,1685725190,2023-06-03,283104007,43521436
70,390,1685725241,2023-06-03,162704105,43521436
71,298,1685725391,2023-06-03,282637930,43521436
72,209,1685725423,2023-06-03,273175803,43521436
73,390,1685725476,2023-06-03,287509151,43521436
74,390,1685725611,2023-06-03,170442665,43521436
75,488,1685725741,2023-06-03,278877755,43521436
76,281,1685725747,2023-06-03,261535135,43521436
77,97,1685726509,2023-06-03,194429198,43521436
78,41,1685726564,2023-06-03,164678297,43521436
79,87,1685726564,2023-06-03,284299596,43521436
80,137,1685726564,2023-06-03,286719703,43521436
81,281,1685726564,2023-06-03,261290948,43521436
82,380,1685726564,2023-06-03,281926443,43521436
83,390,1685726564,2023-06-03,146417841,43521436
84,390,1685726564,2023-06-03,234407424,43521436
85,390,1685726564,2023-06-03,265523677,43521436
86,390,1685726564,2023-06-03,270559269,43521436
87,390,1685726564,2023-06-03,287509151,43521436
88,488,1685726564,2023-06-03,259515004,43521436
89,488,1685726640,2023-06-03,287077767,43521436
90,1,1685726675,2023-06-03,229750021,43521436
91,35,1685726675,2023-06-03,286172882,43521436
92,73,1685726675,2023-06-03,283925964,43521436
93,154,1685726675,2023-06-03,206414931,43521436
94,181,1685726675,2023-06-03,245694781,43521436
