id,pred_job,unix_time,date,job_id,geek_id
0,331,1685775940,2023-06-03,257732829,21561902
1,73,1685775953,2023-06-03,21877881,21561902
2,166,1685775991,2023-06-03,200192755,21561902
3,1,1685776012,2023-06-03,248827282,21561902
4,1,1685776016,2023-06-03,288185128,21561902
5,166,1685776146,2023-06-03,288718768,21561902
6,26,1685776385,2023-06-03,289069168,21561902
7,166,1685787540,2023-06-03,218801805,21561902
8,70,1685787566,2023-06-03,252500649,21561902
9,29,1685787613,2023-06-03,277164557,21561902
10,1,1685787638,2023-06-03,288185128,21561902
11,1,1685867172,2023-06-04,87688238,21561902
12,26,1685867172,2023-06-04,268346508,21561902
13,26,1685867172,2023-06-04,281217534,21561902
14,28,1685867172,2023-06-04,273279402,21561902
15,29,1685867172,2023-06-04,198085292,21561902
16,29,1685867172,2023-06-04,253087250,21561902
17,29,1685867172,2023-06-04,278641811,21561902
18,33,1685867172,2023-06-04,288127903,21561902
19,70,1685867172,2023-06-04,288688914,21561902
20,73,1685867172,2023-06-04,285143362,21561902
21,145,1685867172,2023-06-04,284264885,21561902
22,181,1685867172,2023-06-04,281944363,21561902
23,181,1685867172,2023-06-04,287141444,21561902
24,1,1685867797,2023-06-04,216845410,21561902
25,1,1685867797,2023-06-04,87688238,21561902
26,26,1685867797,2023-06-04,119417862,21561902
27,26,1685867797,2023-06-04,209068385,21561902
28,29,1685867797,2023-06-04,263767804,21561902
29,29,1685867797,2023-06-04,288576339,21561902
30,35,1685867797,2023-06-04,59058213,21561902
31,46,1685867797,2023-06-04,254099609,21561902
32,62,1685867797,2023-06-04,244478533,21561902
33,123,1685867797,2023-06-04,287505191,21561902
34,181,1685867797,2023-06-04,285643112,21561902
35,344,1685867797,2023-06-04,271556100,21561902
36,479,1685867797,2023-06-04,272788271,21561902
37,498,1685867797,2023-06-04,286185511,21561902
38,166,1685867870,2023-06-04,288718768,21561902
39,1,1685867906,2023-06-04,288460935,21561902
40,4,1685867906,2023-06-04,289103500,21561902
41,29,1685867906,2023-06-04,195244858,21561902
42,29,1685867906,2023-06-04,212953004,21561902
43,29,1685867906,2023-06-04,21591097,21561902
44,29,1685867906,2023-06-04,280156637,21561902
45,29,1685867906,2023-06-04,288864489,21561902
46,70,1685867906,2023-06-04,288688914,21561902
47,181,1685867906,2023-06-04,273961851,21561902
48,192,1685867906,2023-06-04,272890806,21561902
49,196,1685867906,2023-06-04,287140422,21561902
50,283,1685867906,2023-06-04,281249707,21561902
51,498,1685867906,2023-06-04,287382670,21561902
52,402,1685867967,2023-06-04,284204868,21561902
53,1,1685867991,2023-06-04,288486038,21561902
54,11,1685867991,2023-06-04,283950441,21561902
55,28,1685867991,2023-06-04,288747120,21561902
56,29,1685867991,2023-06-04,113626207,21561902
57,29,1685867991,2023-06-04,262935710,21561902
58,29,1685867991,2023-06-04,285232211,21561902
59,29,1685867991,2023-06-04,285376623,21561902
60,33,1685867991,2023-06-04,288127903,21561902
61,36,1685867991,2023-06-04,273125967,21561902
62,46,1685867991,2023-06-04,254099609,21561902
63,73,1685867991,2023-06-04,285340837,21561902
64,181,1685867991,2023-06-04,285643112,21561902
65,347,1685867991,2023-06-04,126775313,21561902
66,488,1685867991,2023-06-04,273536536,21561902
67,43,1685867998,2023-06-04,287039870,21561902
68,1,1685868056,2023-06-04,287430205,21561902
69,26,1685868056,2023-06-04,160996050,21561902
70,29,1685868056,2023-06-04,269935487,21561902
71,29,1685868056,2023-06-04,278641811,21561902
72,29,1685868056,2023-06-04,287040122,21561902
73,29,1685868056,2023-06-04,287640650,21561902
74,39,1685868056,2023-06-04,172819183,21561902
75,73,1685868056,2023-06-04,281845098,21561902
76,181,1685868056,2023-06-04,273961851,21561902
77,181,1685868056,2023-06-04,287412066,21561902
78,181,1685868056,2023-06-04,289028447,21561902
79,318,1685868056,2023-06-04,277942527,21561902
80,353,1685868056,2023-06-04,288063397,21561902
81,1,1685868598,2023-06-04,288460935,21561902
82,7,1685868598,2023-06-04,144897438,21561902
83,26,1685868598,2023-06-04,215921188,21561902
84,26,1685868598,2023-06-04,223211343,21561902
85,26,1685868598,2023-06-04,281217534,21561902
86,29,1685868598,2023-06-04,21591097,21561902
87,43,1685868598,2023-06-04,276607178,21561902
88,181,1685868598,2023-06-04,280567675,21561902
89,283,1685868598,2023-06-04,281249707,21561902
90,498,1685868598,2023-06-04,287382670,21561902
91,26,1685869686,2023-06-04,254737496,21561902
92,26,1685869686,2023-06-04,268346508,21561902
93,28,1685869686,2023-06-04,273279402,21561902
94,29,1685869686,2023-06-04,132231941,21561902
95,29,1685869686,2023-06-04,287088678,21561902
96,43,1685869686,2023-06-04,284705550,21561902
97,122,1685869686,2023-06-04,287849444,21561902
98,181,1685869686,2023-06-04,273961851,21561902
99,331,1685869686,2023-06-04,261771877,21561902
100,396,1685869686,2023-06-04,283046347,21561902
101,70,1685929258,2023-06-03,229985234,21561902
