id,pred_job,unix_time,date,job_id,geek_id
0,29,1685763167,2023-06-03,174924086,35338797
1,29,1685763167,2023-06-03,175373918,35338797
2,29,1685763167,2023-06-03,258119755,35338797
3,29,1685763167,2023-06-03,279949457,35338797
4,29,1685763167,2023-06-03,94264364,35338797
5,169,1685763167,2023-06-03,286439277,35338797
6,283,1685763167,2023-06-03,118850725,35338797
7,283,1685763167,2023-06-03,267754698,35338797
8,380,1685763167,2023-06-03,288220209,35338797
9,331,1685763194,2023-06-03,288869516,35338797
10,70,1685763221,2023-06-03,288207794,35338797
11,29,1685763240,2023-06-03,289022040,35338797
12,283,1685763270,2023-06-03,285828884,35338797
13,29,1685763288,2023-06-03,254781074,35338797
14,29,1685763310,2023-06-03,288301621,35338797
15,5,1685763329,2023-06-03,259455567,35338797
16,11,1685763329,2023-06-03,285717489,35338797
17,26,1685763329,2023-06-03,285935254,35338797
18,29,1685763329,2023-06-03,109299341,35338797
19,29,1685763329,2023-06-03,131704676,35338797
20,29,1685763329,2023-06-03,213792168,35338797
21,29,1685763329,2023-06-03,214595290,35338797
22,29,1685763329,2023-06-03,240125511,35338797
23,29,1685763329,2023-06-03,254986328,35338797
24,283,1685763329,2023-06-03,274135139,35338797
25,283,1685763329,2023-06-03,288310654,35338797
26,26,1685763344,2023-06-03,222865921,35338797
27,29,1685785061,2023-06-03,197756743,35338797
28,1,1685858638,2023-06-04,288460679,35338797
29,29,1685858638,2023-06-04,169990441,35338797
30,29,1685858638,2023-06-04,189855372,35338797
31,29,1685858638,2023-06-04,223193165,35338797
32,29,1685858638,2023-06-04,269013668,35338797
33,29,1685858638,2023-06-04,278195514,35338797
34,29,1685858638,2023-06-04,282963614,35338797
35,123,1685858638,2023-06-04,269230775,35338797
36,169,1685858638,2023-06-04,286898846,35338797
37,181,1685858638,2023-06-04,200767325,35338797
38,260,1685858638,2023-06-04,282853099,35338797
39,29,1685858643,2023-06-04,289063842,35338797
