id,pred_job,unix_time,date,job_id,geek_id
0,11,1685892819,2023-06-04,238525315,54306039
1,11,1685892819,2023-06-04,272747887,54306039
2,11,1685892819,2023-06-04,288716000,54306039
3,26,1685892819,2023-06-04,284837723,54306039
4,29,1685892819,2023-06-04,244421845,54306039
5,29,1685892819,2023-06-04,253597170,54306039
6,29,1685892819,2023-06-04,266462646,54306039
7,35,1685892819,2023-06-04,188373581,54306039
8,35,1685892819,2023-06-04,280423760,54306039
9,122,1685892819,2023-06-04,288137424,54306039
10,155,1685892819,2023-06-04,280745045,54306039
11,181,1685892819,2023-06-04,276585372,54306039
12,283,1685892819,2023-06-04,277138104,54306039
13,283,1685892822,2023-06-04,218994831,54306039
14,29,1685892835,2023-06-04,268679533,54306039
15,26,1685892890,2023-06-04,229773300,54306039
16,26,1685892890,2023-06-04,283880613,54306039
17,29,1685892890,2023-06-04,275435447,54306039
18,58,1685892890,2023-06-04,289060974,54306039
19,179,1685892890,2023-06-04,117526968,54306039
20,181,1685892890,2023-06-04,268738855,54306039
21,181,1685892890,2023-06-04,271330169,54306039
22,181,1685892890,2023-06-04,277243289,54306039
23,181,1685892890,2023-06-04,287093808,54306039
24,192,1685892890,2023-06-04,162700827,54306039
25,192,1685892890,2023-06-04,285796756,54306039
26,283,1685892890,2023-06-04,249248259,54306039
27,347,1685892890,2023-06-04,247978983,54306039
28,29,1685892917,2023-06-04,70348555,54306039
29,181,1685892937,2023-06-04,287993141,54306039
30,11,1685892953,2023-06-04,288716000,54306039
31,26,1685892953,2023-06-04,274628114,54306039
32,26,1685892953,2023-06-04,283880613,54306039
33,26,1685892953,2023-06-04,287092908,54306039
34,26,1685892953,2023-06-04,31772187,54306039
35,28,1685892953,2023-06-04,277652177,54306039
36,29,1685892953,2023-06-04,241298591,54306039
37,29,1685892953,2023-06-04,67513520,54306039
38,181,1685892953,2023-06-04,278844464,54306039
39,268,1685892953,2023-06-04,250320355,54306039
40,1,1685894058,2023-06-04,250418455,54306039
41,29,1685894058,2023-06-04,277256848,54306039
42,29,1685894058,2023-06-04,288224982,54306039
43,70,1685894058,2023-06-04,280696100,54306039
44,70,1685894058,2023-06-04,288111442,54306039
45,87,1685894058,2023-06-04,243638795,54306039
46,181,1685894058,2023-06-04,278844464,54306039
47,192,1685894058,2023-06-04,285796756,54306039
48,281,1685894058,2023-06-04,219857040,54306039
49,283,1685894058,2023-06-04,249248259,54306039
50,283,1685894058,2023-06-04,252747811,54306039
51,283,1685894058,2023-06-04,288214486,54306039
52,347,1685894058,2023-06-04,266766710,54306039
53,347,1685894061,2023-06-04,217318513,54306039
54,270,1685894087,2023-06-04,285266791,54306039
