id,pred_job,unix_time,date,job_id,geek_id
0,5,1685763056,2023-06-03,288471071,37597490
1,26,1685763056,2023-06-03,210264674,37597490
2,26,1685763056,2023-06-03,276319378,37597490
3,29,1685763056,2023-06-03,261611134,37597490
4,35,1685763056,2023-06-03,283440791,37597490
5,64,1685763056,2023-06-03,260912311,37597490
6,70,1685763056,2023-06-03,285254202,37597490
7,123,1685763056,2023-06-03,287505191,37597490
8,181,1685763056,2023-06-03,144675550,37597490
9,268,1685763056,2023-06-03,284469705,37597490
10,268,1685763056,2023-06-03,285878554,37597490
11,181,1685763144,2023-06-03,268694529,37597490
12,29,1685763207,2023-06-03,232325369,37597490
13,33,1685763245,2023-06-03,244461111,37597490
14,1,1685763269,2023-06-03,286730663,37597490
15,28,1685763269,2023-06-03,287378435,37597490
16,29,1685763269,2023-06-03,241722430,37597490
17,29,1685763269,2023-06-03,288381736,37597490
18,155,1685763269,2023-06-03,245869797,37597490
19,166,1685763269,2023-06-03,277164227,37597490
20,181,1685763269,2023-06-03,250091043,37597490
21,181,1685763269,2023-06-03,287157038,37597490
22,331,1685763269,2023-06-03,287542460,37597490
23,33,1685763276,2023-06-03,286724756,37597490
24,29,1685763349,2023-06-03,282066256,37597490
25,7,1685763418,2023-06-03,248667801,37597490
26,26,1685763418,2023-06-03,210264674,37597490
27,26,1685763418,2023-06-03,288447327,37597490
28,87,1685763418,2023-06-03,275534177,37597490
29,137,1685763418,2023-06-03,288602321,37597490
30,181,1685763418,2023-06-03,287960203,37597490
31,283,1685763418,2023-06-03,276284244,37597490
32,331,1685763418,2023-06-03,287097610,37597490
33,380,1685763418,2023-06-03,283422787,37597490
34,29,1685763434,2023-06-03,283353481,37597490
35,26,1685763484,2023-06-03,280433119,37597490
36,13,1685763532,2023-06-03,284780629,37597490
37,29,1685763532,2023-06-03,240990828,37597490
38,73,1685763532,2023-06-03,262020917,37597490
39,331,1685763532,2023-06-03,269867709,37597490
40,380,1685763532,2023-06-03,271343349,37597490
41,268,1685763550,2023-06-03,268405899,37597490
42,73,1685763597,2023-06-03,252536872,37597490
43,268,1685763686,2023-06-03,240769584,37597490
44,11,1685765422,2023-06-03,284269403,37597490
45,26,1685765422,2023-06-03,288673710,37597490
46,29,1685765422,2023-06-03,166105842,37597490
47,29,1685765422,2023-06-03,265076144,37597490
48,33,1685765422,2023-06-03,280758312,37597490
49,70,1685765422,2023-06-03,285254202,37597490
50,79,1685765422,2023-06-03,289112842,37597490
51,181,1685765422,2023-06-03,182865486,37597490
52,181,1685765422,2023-06-03,284837357,37597490
53,268,1685765422,2023-06-03,273498367,37597490
54,268,1685765451,2023-06-03,240769584,37597490
55,29,1685765526,2023-06-03,282066256,37597490
56,1,1685777148,2023-06-03,285128301,37597490
57,26,1685777148,2023-06-03,281559267,37597490
58,33,1685777148,2023-06-03,266078232,37597490
59,33,1685777148,2023-06-03,285119290,37597490
60,33,1685777148,2023-06-03,288611993,37597490
61,79,1685777148,2023-06-03,281816907,37597490
62,137,1685777148,2023-06-03,281866146,37597490
63,181,1685777148,2023-06-03,288114578,37597490
64,192,1685777148,2023-06-03,288693375,37597490
65,268,1685777148,2023-06-03,221904085,37597490
66,283,1685777148,2023-06-03,274767311,37597490
67,331,1685777148,2023-06-03,269867709,37597490
68,488,1685777148,2023-06-03,274567130,37597490
69,488,1685777148,2023-06-03,277765523,37597490
70,268,1685777161,2023-06-03,240769584,37597490
71,26,1685777210,2023-06-03,246429516,37597490
72,29,1685777210,2023-06-03,223028621,37597490
73,29,1685777210,2023-06-03,288061578,37597490
74,33,1685777210,2023-06-03,266078232,37597490
75,35,1685777210,2023-06-03,284023000,37597490
76,71,1685777210,2023-06-03,282778079,37597490
77,73,1685777210,2023-06-03,262103507,37597490
78,137,1685777210,2023-06-03,273412353,37597490
79,166,1685777210,2023-06-03,288480462,37597490
80,266,1685777210,2023-06-03,226835983,37597490
81,26,1685777289,2023-06-03,284188542,37597490
82,26,1685777360,2023-06-03,288689736,37597490
83,33,1685777439,2023-06-03,244461111,37597490
84,331,1685777453,2023-06-03,271086687,37597490
85,488,1685777477,2023-06-03,234139666,37597490
86,29,1685777676,2023-06-03,267198696,37597490
87,29,1685777749,2023-06-03,84425105,37597490
88,33,1685777821,2023-06-03,266078232,37597490
